Name	sample1	sample2	sample3	sample4	sample5	sample6
K00001	6	5	3	6	2	3
K00002	0	0	0	1	0	1
K00003	2	1	1	4	1	0
K00004	1	1	0	0	1	2
K00005	1	0	0	0	0	0
K00006	1	1	0	0	0	0
K00008	3	0	0	1	2	1
K00010	4	2	0	0	1	1
K00011	1	0	0	2	0	0
K00012	6	3	2	7	2	7
K00013	6	7	0	4	4	4
K00014	3	4	2	3	2	1
K00015	2	1	0	1	0	1
K00018	0	1	0	0	0	0
K00019	2	1	0	2	2	1
K00020	3	7	0	7	2	9
K00021	1	1	0	3	0	0
K00022	0	0	1	1	0	0
K00023	1	0	0	1	1	3
K00024	7	2	2	3	4	2
K00025	3	1	0	2	0	0
K00026	0	0	1	0	0	0
K00027	4	3	2	5	2	6
K00028	5	3	2	2	5	6
K00029	10	3	2	6	4	8
K00030	1	4	1	3	1	2
K00031	11	9	3	14	7	12
K00033	5	6	2	4	3	7
K00034	1	0	0	0	0	1
K00035	0	1	0	0	0	0
K00036	4	4	2	4	2	2
K00038	0	0	0	1	0	0
K00039	0	0	0	0	0	1
K00040	0	2	0	1	0	1
K00041	0	0	0	0	0	1
K00042	1	3	0	3	3	4
K00043	2	0	0	1	2	0
K00044	1	0	0	0	0	0
K00045	0	1	0	3	0	2
K00046	1	3	0	1	0	3
K00050	0	1	0	1	1	4
K00052	5	8	1	6	3	7
K00053	2	1	0	3	1	6
K00054	2	0	1	0	1	3
K00057	4	0	0	4	2	4
K00058	8	8	4	6	2	8
K00059	9	8	4	19	3	8
K00060	0	1	1	1	0	2
K00064	1	0	0	0	0	1
K00065	2	2	0	1	1	4
K00066	1	0	0	0	0	0
K00067	1	0	0	0	0	1
K00074	2	5	0	4	5	4
K00075	3	1	2	2	2	2
K00077	0	0	1	2	1	3
K00079	0	0	1	0	0	0
K00087	0	0	0	1	0	0
K00088	7	4	1	9	2	4
K00090	1	2	0	1	0	1
K00097	3	1	1	3	4	2
K00098	0	0	0	1	1	0
K00099	0	4	2	2	1	5
K00100	12	6	2	16	6	11
K00101	6	0	2	1	5	5
K00102	3	3	3	5	2	4
K00104	3	2	3	5	7	8
K00105	2	0	0	1	0	0
K00106	0	0	2	0	0	0
K00108	3	10	4	7	3	7
K00111	4	6	1	7	1	2
K00114	5	1	0	2	0	1
K00115	0	1	1	1	0	0
K00116	0	0	1	1	0	1
K00117	0	1	0	1	0	1
K00119	5	6	4	8	1	6
K00120	0	1	1	0	0	0
K00121	4	4	0	5	2	2
K00122	5	1	2	4	1	4
K00123	9	8	4	8	4	5
K00124	4	1	0	2	0	0
K00128	13	21	3	20	12	12
K00129	1	0	0	1	1	4
K00130	2	3	2	7	3	6
K00131	0	1	0	1	0	0
K00133	5	5	2	6	3	2
K00134	13	11	4	11	3	8
K00135	5	2	0	6	4	5
K00136	0	0	1	2	0	0
K00137	0	0	0	0	0	2
K00138	1	0	0	0	0	0
K00139	1	0	0	0	1	0
K00140	4	4	3	3	2	1
K00143	1	0	0	0	0	0
K00145	1	2	2	1	1	2
K00146	1	1	0	3	0	2
K00147	5	2	2	3	3	5
K00149	0	0	1	1	0	0
K00150	2	1	1	0	2	0
K00151	3	1	1	1	1	6
K00154	1	0	0	0	1	1
K00155	5	5	1	7	3	4
K00161	7	4	1	2	3	3
K00162	16	8	4	14	3	2
K00163	11	1	2	9	4	0
